City,Cloudiness,Country_code,Date,Humidity,Latitude,Longitude,Max_temp,Wind_speed
Cape Town,0,ZA,1547604000,82,-33.93,18.42,60.8,1.0
Tecoanapa,5,MX,1547603220,69,16.99,-99.26,80.6,1.5
Grand Gaube,40,MU,1547604000,88,-20.01,57.66,75.2,2.1
Rikitea,56,PF,1547606881,98,-23.12,-134.97,80.13200000000002,5.46
Albany,90,US,1547603820,65,42.65,-73.75,30.02000000000006,2.1
Dingle,44,PH,1547606582,76,11.0,122.67,78.78200000000001,7.71
Souillac,36,FR,1547604000,78,45.6,-0.6,35.6,1.41
Berdigestyakh,8,RU,1547606882,0,62.1,126.7,-39.747999999999976,2.16
Mount Isa,40,AU,1547604000,27,-20.73,139.49,98.6,2.1
Eydhafushi,24,MV,1547606882,100,5.1,73.07,81.842,4.56
Hilo,90,US,1547603580,53,19.71,-155.08,75.92000000000006,3.6
Qaanaaq,0,GL,1547606883,96,77.48,-69.36,-30.11799999999998,4.26
Aripuana,8,BR,1547606656,95,-9.17,-60.63,73.56200000000005,0.91
Atuona,80,PF,1547606883,100,-9.8,-139.03,80.85200000000007,7.56
Skelleftea,0,SE,1547605200,91,64.75,20.95,1.3999999999999986,2.1
Butaritari,80,KI,1547606884,100,3.07,172.79,84.00200000000008,8.21
Esperance,20,TT,1547604000,83,10.24,-61.45,77.0,2.76
Mataura,68,NZ,1547606884,59,-46.19,168.86,70.77200000000003,2.31
Otane,92,NZ,1547606884,100,-39.89,176.62,60.51200000000006,3.56
Krasnyy Yar,92,RU,1547606885,96,50.7,44.73,33.242,8.01
Haimen,32,CN,1547606885,84,31.87,121.18,41.07200000000004,4.11
Hualmay,92,PE,1547606885,91,-11.1,-77.61,68.61200000000005,2.66
Cabo San Lucas,40,MX,1547603040,73,22.89,-109.91,69.8,1.86
Oistins,40,BB,1547604000,78,13.07,-59.53,77.0,5.7
Gravelbourg,20,CA,1547606713,68,49.88,-106.56,10.562000000000058,2.96
New Norfolk,75,AU,1547604000,55,-42.78,147.06,66.2,6.7
Bredasdorp,92,ZA,1547604000,82,-34.53,20.04,68.0,4.1
Yamoussoukro,8,CI,1547606886,88,6.81,-5.27,75.45200000000008,3.21
Hasaki,20,JP,1547605800,37,35.73,140.83,50.0,4.1
Shurugwi,80,ZW,1547606887,87,-19.67,30.0,68.88200000000002,4.31
Yellowknife,20,CA,1547604000,74,62.45,-114.38,-27.399999999999956,3.6
Hermanus,0,ZA,1547606887,95,-34.42,19.24,56.01200000000006,2.86
Bluff,0,AU,1547606887,43,-23.58,149.07,93.542,2.56
East London,80,ZA,1547606888,100,-33.02,27.91,71.76200000000006,2.66
Lakatoro,76,VU,1547606888,95,-16.11,167.42,82.20200000000008,1.61
Kapaa,40,US,1547603760,60,22.08,-159.32,80.06000000000009,3.1
Punta Arenas,40,CL,1547604000,65,-53.16,-70.91,44.6,7.7
Lagoa,20,PT,1547604000,93,37.14,-8.45,46.4,3.1
Lata,88,IN,1547606889,70,30.78,78.62,35.40200000000008,1.01
Avarua,40,CK,1547604000,78,-21.21,-159.78,80.6,4.1
Poum,0,MK,1547606894,71,41.28,20.71,4.262000000000057,0.91
Constitucion,90,MX,1547603040,44,23.99,-104.67,59.0,2.6
Kasongo-Lunda,32,CD,1547606895,98,-6.48,16.82,67.35200000000007,1.06
Georgetown,75,GY,1547604000,88,6.8,-58.16,77.0,2.1
Salvador,40,BR,1547604000,74,-12.98,-38.48,82.4,4.1
Brae,92,GB,1547605200,100,60.4,-1.35,46.4,8.2
Fortuna,20,ES,1547604000,87,38.18,-1.13,48.2,2.6
Tuktoyaktuk,40,CA,1547604000,68,69.44,-133.03,-18.39999999999995,4.1
Cidreira,32,BR,1547606618,91,-30.17,-50.22,77.07200000000003,3.31
Granadilla de Abona,12,ES,1547605800,87,28.12,-16.58,60.8,0.5
Carnarvon,0,ZA,1547606896,57,-30.97,22.13,57.272000000000034,4.31
Fairbanks,1,US,1547603880,80,64.84,-147.72,-10.119999999999962,1.81
Russell,0,AR,1547604000,53,-33.01,-68.8,75.2,2.6
Airai,44,TL,1547606897,87,-8.93,125.41,79.68200000000002,0.71
Shelburne,90,CA,1547604180,92,44.08,-80.2,28.4,4.6
Port-Gentil,80,GA,1547606898,98,-0.72,8.78,79.95200000000008,1.76
Puerto Ayora,36,EC,1547606898,99,-0.74,-90.35,77.43200000000002,4.21
Manado,40,ID,1547604000,66,1.49,124.85,86.0,3.1
Husavik,0,CA,1547606898,70,50.56,-96.99,-5.727999999999966,5.11
