City,Cloudiness,Country_code,Date,Humidity,Latitude,Longitude,Max_temp,Wind_speed
Vanavara,20,RU,1547326155,53,60.35,102.28,244.885,1.85
Rikitea,76,PF,1547325924,100,-23.12,-134.97,299.235,6.25
Georgetown,75,GY,1547323200,69,6.8,-58.16,301.15,7.2
Nouakchott,0,MR,1547323200,6,18.08,-15.98,296.15,3.1
Punta Arenas,75,CL,1547323200,53,-53.16,-70.91,283.15,17.5
Longyearbyen,20,NO,1547322600,55,78.22,15.63,259.15,8.2
Port Alfred,0,ZA,1547326156,90,-33.59,26.89,293.36,1.45
Kloulklubed,90,PW,1547322600,94,7.04,134.26,298.15,4.1
Thompson,90,CA,1547323200,78,55.74,-97.86,261.15,5.7
Vila Franca do Campo,40,PT,1547323200,77,37.72,-25.43,289.15,5.7
Itarema,68,BR,1547326067,93,-2.92,-39.92,298.16,2.05
Victor Harbor,20,AU,1547323200,63,-35.55,138.62,289.15,5.7
Busselton,0,AU,1547326157,100,-33.64,115.35,290.61,8.4
Caala,24,AO,1547326158,67,-12.85,15.56,291.485,2.05
Carauari,64,BR,1547326158,80,-4.88,-66.9,301.66,1.25
Nikolskoye,75,RU,1547323200,85,59.7,30.79,268.15,6
Atuona,80,PF,1547326158,100,-9.8,-139.03,299.11,7.35
Vardo,90,US,1547324400,45,39.62,-77.74,275.15,3.6
Hamilton,90,CA,1547323200,79,43.26,-79.87,269.15,5.1
Dalvik,75,SE,1547324400,100,57.79,14.13,272.15,1.5
Tuktoyaktuk,75,CA,1547323200,75,69.44,-133.03,247.15,4.6
Flinders,12,AU,1547326159,81,-34.58,150.85,294.035,2.9
Formosa,40,AR,1547323200,62,-26.19,-58.17,305.15,5.1
Brae,92,GB,1547324400,87,60.4,-1.35,281.15,7.7
Hermanus,0,ZA,1547326003,65,-34.42,19.24,288.71,4.2
Arraial do Cabo,20,BR,1547323200,69,-22.97,-42.02,303.15,7.2
Ponta Delgada,40,PT,1547323200,77,37.73,-25.67,289.15,5.7
Qaanaaq,0,GL,1547326160,100,77.48,-69.36,242.335,3.85
Pitimbu,20,BR,1547323200,83,-7.47,-34.81,299.15,3.6
Bandipur,0,IN,1547326161,85,11.67,76.63,286.96,0.95
San Patricio,36,PY,1547325998,93,-26.98,-56.83,299.41,1.4
Castro,0,CL,1547323200,67,-42.48,-73.76,288.15,3.6
Mataura,92,NZ,1547326000,89,-46.19,168.86,285.81,1.05
Ushuaia,75,AR,1547323200,81,-54.81,-68.31,279.15,18
Chuy,92,UY,1547326162,89,-33.69,-53.46,294.41,6.55
Khatanga,48,RU,1547326162,47,71.98,102.47,239.335,5.45
Kavieng,48,PG,1547326162,100,-2.57,150.8,300.535,4.65
Mazamari,92,PE,1547326163,91,-11.33,-74.53,293.41,1
Ribeira Grande,20,PT,1547323200,77,38.52,-28.7,289.15,9.3
Saint-Philippe,1,CA,1547325300,55,45.36,-73.48,261.05,3.1
Smithers,90,CA,1547323200,100,54.78,-127.17,274.15,1
Cayenne,75,GF,1547325000,69,4.94,-52.33,301.15,6.2
Pierre,90,US,1547322780,91,44.37,-100.35,264.85,2.1
Chico,40,US,1547322840,54,39.73,-121.84,287.55,1.3
Henties Bay,0,NA,1547326164,100,-22.12,14.28,289.91,3.3
Clearlake,1,US,1547322960,64,38.96,-122.63,287.55,1.75
Barra,32,BR,1547326164,35,-11.09,-43.14,305.86,1.85
Leningradskiy,8,RU,1547326165,100,69.38,178.42,244.71,3.8
Novaya Ladoga,80,RU,1547326165,80,60.11,32.31,269.36,3.25
Piacabucu,88,BR,1547326165,67,-10.41,-36.43,300.66,5.2
Pisco,0,PE,1547323200,30,-13.71,-76.2,295.15,12.3
Norman Wells,20,CA,1547323200,66,65.28,-126.83,238.15,2.1
Cherskiy,56,RU,1547326045,51,68.75,161.3,245.785,0.7
Hilo,1,US,1547322780,71,19.71,-155.08,297.55,3.1
Hobart,20,AU,1547323200,76,-42.88,147.33,284.15,3.1
Hasaki,90,JP,1547325000,86,35.73,140.83,277.15,4.1
Mount Isa,0,AU,1547325000,39,-20.73,139.49,299.15,2.1
Chokurdakh,80,RU,1547325999,71,70.62,147.9,242.31,3.2
Dikson,76,RU,1547326166,100,73.51,80.55,245.735,14.5
Ponta do Sol,24,BR,1547326167,67,-20.63,-46,300.06,1.4
Avarua,75,CK,1547323200,70,-21.21,-159.78,302.15,2.6
Sao Filipe,0,CV,1547325948,96,14.9,-24.5,295.61,4.45
Kahului,90,US,1547325300,88,20.89,-156.47,299.85,7.7
Boende,32,CD,1547326167,84,-0.28,20.88,298.835,1.6
Mar del Plata,12,AR,1547326167,29,-46.43,-67.52,294.21,6.25
Airai,32,TL,1547326168,87,-8.93,125.41,293.585,0.85
Honiara,80,SB,1547326168,100,-9.43,159.96,297.435,1.3
Pevek,0,RU,1547326004,64,69.7,170.27,243.385,2
Tecoanapa,5,MX,1547322480,66,16.99,-99.26,302.15,5.7
Bilma,20,NE,1547326168,21,18.69,12.92,289.71,6.2
Berlevag,88,NO,1547326168,100,70.86,29.09,269.21,1.3
Noumea,0,NC,1547325000,78,-22.28,166.46,299.15,2.6
New Norfolk,20,AU,1547325000,62,-42.78,147.06,286.15,3.1
Seoul,1,KR,1547325000,85,37.57,126.98,270.15,1
Kavaratti,0,IN,1547326169,100,10.57,72.64,300.71,2.85
Great Bend,90,US,1547323500,92,38.36,-98.78,271.15,9.8
Atasu,68,KZ,1547326169,81,48.68,71.64,260.585,4.45
Peterhead,20,AU,1547325000,59,-34.83,138.5,289.15,3.6
Lebedinyy,0,RU,1547326170,65,58.52,125.52,249.985,1.35
Faanui,88,PF,1547326046,100,-16.48,-151.75,300.71,10.1
Victoria,75,BN,1547325000,88,5.28,115.24,300.15,1.5
Guangyuan,0,CN,1547326171,80,32.43,105.86,267.31,1.35
Ancud,0,CL,1547323200,67,-41.87,-73.83,288.15,3.6
Byron Bay,92,AU,1547323200,100,-28.65,153.62,294.15,2.55
Cape Town,40,ZA,1547323200,68,-33.93,18.42,292.15,3.1
Albany,20,US,1547324220,31,42.65,-73.75,269.25,5.1
Yellowknife,90,CA,1547323200,83,62.45,-114.38,253.15,4.6
Nikko,48,JP,1547326171,83,36.75,139.62,268.66,1.65
La Paz Centro,20,NI,1547323200,48,12.34,-86.68,304.15,9.3
Newton,90,US,1547325300,92,41.7,-93.05,272.55,6.2
Puerto Ayora,40,EC,1547323200,55,-0.74,-90.35,303.15,7.7
Beringovskiy,32,RU,1547326137,95,63.05,179.32,252.685,10.55
Port Elizabeth,75,US,1547322960,30,39.31,-74.98,274.85,2.1
Sitka,68,US,1547326021,89,37.17,-99.65,275.46,7.4
Bolobo,8,CD,1547326173,97,-2.17,16.23,297.11,1.4
Yulara,0,AU,1547323200,23,-25.24,130.99,303.15,4.1
Los Llanos de Aridane,0,ES,1547325000,59,28.66,-17.92,290.15,3.1
Charagua,75,BO,1547323200,53,-19.79,-63.2,298.15,7
